sampleID	Annotation	Species	sample	number	genome	tissue	path
crassa_BA_P1_veg	crassa_BA	crassa_BA	P1	163	2489	veg	bamfiles/crassa_BA/crassa-aaP1_163_vs.2489_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
crassa_BA_P1_sex	crassa_BA	crassa_BA	P1	163	2489	sex	bamfiles/crassa_BA/crassa-aaP1-sex_163_vs.2489_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
crassa_BA_P2_veg	crassa_BA	crassa_BA	P2	163	2489	veg	bamfiles/crassa_BA/crassa-aaP2_163_vs.2489_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
crassa_BA_P2_sex	crassa_BA	crassa_BA	P2	163	2489	sex	bamfiles/crassa_BA/crassa-aaP2-sex_163_vs.2489_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
crassa_BA_P3_veg	crassa_BA	crassa_BA	P3	163	2489	veg	bamfiles/crassa_BA/crassa-aaP3_163_vs.2489_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
crassa_BA_P3_sex	crassa_BA	crassa_BA	P3	163	2489	sex	bamfiles/crassa_BA/crassa-aaP3-sex_163_vs.2489_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
crassa_sa_P1_veg	crassa_sa	crassa_sa	P1	163	2489	veg	bamfiles/crassa_sa/crassa-aP1_163_vs.2489_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
crassa_sa_P1_sex	crassa_sa	crassa_sa	P1	163	2489	sex	bamfiles/crassa_sa/crassa-aP1-sex_163_vs.2489_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
crassa_sa_P2_veg	crassa_sa	crassa_sa	P2	163	2489	veg	bamfiles/crassa_sa/crassa-aP2_163_vs.2489_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
crassa_sa_P2_sex	crassa_sa	crassa_sa	P2	163	2489	sex	bamfiles/crassa_sa/crassa-aP2-sex_163_vs.2489_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
crassa_sa_P3_veg	crassa_sa	crassa_sa	P3	163	2489	veg	bamfiles/crassa_sa/crassa-aP3_163_vs.2489_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
crassa_sa_P3_sex	crassa_sa	crassa_sa	P3	163	2489	sex	bamfiles/crassa_sa/crassa-ap3-sex_163_vs.2489_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L1_BA_P1_veg	L1_BA	L1_BA	P1	merged2017	9033	veg	bamfiles/L1_BA/L1aaP1_merged2017_vs.9033_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L1_BA_P1_sex	L1_BA	L1_BA	P1	154	9033	sex	bamfiles/L1_BA/L1aaP1-sex_154_vs.9033_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L1_BA_P2_veg	L1_BA	L1_BA	P2	merged2017	9033	veg	bamfiles/L1_BA/L1aaP2_merged2017_vs.9033_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L1_BA_P2_sex	L1_BA	L1_BA	P2	merged2017	9033	sex	bamfiles/L1_BA/L1aaP2-sex_merged2017_vs.9033_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L1_BA_P3_veg	L1_BA	L1_BA	P3	merged2017	9033	veg	bamfiles/L1_BA/L1aaP3_merged2017_vs.9033_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L1_BA_P3_sex	L1_BA	L1_BA	P3	154	9033	sex	bamfiles/L1_BA/L1aaP3-sex_154_vs.9033_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L1_sa_P1_veg	L1_sa	L1_sa	P1	merged2017	9034	veg	bamfiles/L1_sa/L1aP1_merged2017_vs.9034_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L1_sa_P1_sex	L1_sa	L1_sa	P1	154	9034	sex	bamfiles/L1_sa/L1aP1-sex_154_vs.9034_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L1_sa_P2_veg	L1_sa	L1_sa	P2	154	9034	veg	bamfiles/L1_sa/L1aP2_154_vs.9034_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L1_sa_P2_sex	L1_sa	L1_sa	P2	154	9034	sex	bamfiles/L1_sa/L1aP2-sex_154_vs.9034_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L1_sa_P3_veg	L1_sa	L1_sa	P3	154	9034	veg	bamfiles/L1_sa/L1aP3_154_vs.9034_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L1_sa_P3_sex	L1_sa	L1_sa	P3	154	9034	sex	bamfiles/L1_sa/L1aP3-sex_154_vs.9034_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L10_BA_P1_veg	L10_BA	L10_BA	P1	merged	10707	veg	bamfiles/L10_BA/L10aaP1_merged_vs.10707_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
