Sample	Assigned	Unassigned: Singleton	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
L10aP1-sex_merged_vs.10707_ribofiltered+trimmed	10269077.0	33241.0	193814.0	3473268.0	3560.0
L10aP1-sex_merged_vs.10708_ribofiltered+trimmed	10259725.0	36647.0	17377.0	3572021.0	4177.0
L10aP1_merged_vs.10707_ribofiltered+trimmed	12917444.0	45185.0	223619.0	3027201.0	2704.0
L10aP1_merged_vs.10708_ribofiltered+trimmed	12944763.0	48718.0	19631.0	3028646.0	2848.0
L10aP2-sex_merged_vs.10707_ribofiltered+trimmed	12425659.0	32491.0	244036.0	4435481.0	4466.0
L10aP2-sex_merged_vs.10708_ribofiltered+trimmed	12452424.0	35667.0	23092.0	4543361.0	5104.0
L10aP2_merged_vs.10707_ribofiltered+trimmed	6458616.0	13709.0	104332.0	1415134.0	1369.0
L10aP2_merged_vs.10708_ribofiltered+trimmed	6464453.0	14729.0	9798.0	1416804.0	1646.0
L10aP3-sex_merged_vs.10707_ribofiltered+trimmed	12478825.0	33166.0	232668.0	4168137.0	4661.0
L10aP3-sex_merged_vs.10708_ribofiltered+trimmed	12507433.0	37014.0	20726.0	4279951.0	5204.0
L10aP3_merged_vs.10707_ribofiltered+trimmed	10262904.0	23511.0	177823.0	2325723.0	2335.0
L10aP3_merged_vs.10708_ribofiltered+trimmed	10289250.0	25214.0	15563.0	2325075.0	2587.0
L10aaP1-sex_merged_vs.10707_ribofiltered+trimmed	8849892.0	82515.0	15431.0	2857246.0	2832.0
L10aaP1-sex_merged_vs.10708_ribofiltered+trimmed	8803501.0	73846.0	161871.0	2840744.0	3486.0
L10aaP1_merged_vs.10707_ribofiltered+trimmed	10820250.0	29717.0	18089.0	2404462.0	1932.0
L10aaP1_merged_vs.10708_ribofiltered+trimmed	10874952.0	27129.0	137244.0	2372748.0	2478.0
L10aaP2-sex_merged_vs.10707_ribofiltered+trimmed	10130254.0	26539.0	18467.0	3395315.0	3019.0
L10aaP2-sex_merged_vs.10708_ribofiltered+trimmed	10104458.0	23871.0	194063.0	3340378.0	3509.0
L10aaP2_merged_vs.10707_ribofiltered+trimmed	8132046.0	121668.0	14624.0	1650294.0	2033.0
L10aaP2_merged_vs.10708_ribofiltered+trimmed	8162691.0	111239.0	96992.0	1632252.0	2699.0
L10aaP3-sex_merged_vs.10707_ribofiltered+trimmed	11009187.0	36628.0	19804.0	3588571.0	3330.0
L10aaP3-sex_merged_vs.10708_ribofiltered+trimmed	10972383.0	32905.0	207171.0	3554469.0	4005.0
L10aaP3_merged_vs.10707_ribofiltered+trimmed	10864869.0	93471.0	18267.0	2347436.0	2176.0
L10aaP3_merged_vs.10708_ribofiltered+trimmed	10912158.0	84924.0	132702.0	2303526.0	2919.0
L1aP1-sex_154_vs.9033_ribofiltered+trimmed	9543679.0	19537.0	273453.0	3793036.0	2742.0
L1aP1-sex_154_vs.9034_ribofiltered+trimmed	9499734.0	22563.0	246376.0	3880886.0	4310.0
L1aP1_merged2017_vs.9033_ribofiltered+trimmed	7303148.0	526880.0	100679.0	1682882.0	4231.0
L1aP1_merged2017_vs.9034_ribofiltered+trimmed	7209286.0	618970.0	1689597.0	1673565.0	3628.0
L1aP2-sex_154_vs.9033_ribofiltered+trimmed	5667804.0	160070.0	195539.0	2017978.0	2061.0
L1aP2-sex_154_vs.9034_ribofiltered+trimmed	5655380.0	167548.0	131652.0	2072421.0	2873.0
L1aP2_154_vs.9033_ribofiltered+trimmed	7529900.0	20774.0	106107.0	1807701.0	1935.0
L1aP2_154_vs.9034_ribofiltered+trimmed	7445490.0	27032.0	556525.0	1826846.0	3045.0
L1aP3-sex_154_vs.9033_ribofiltered+trimmed	8089092.0	16936.0	279064.0	2997117.0	2290.0
L1aP3-sex_154_vs.9034_ribofiltered+trimmed	8065786.0	19083.0	218358.0	3067481.0	3654.0
L1aP3_154_vs.9033_ribofiltered+trimmed	7983322.0	26468.0	126791.0	1846632.0	2109.0
L1aP3_154_vs.9034_ribofiltered+trimmed	7899507.0	34155.0	541220.0	1872452.0	3283.0
L1aaP1-sex_154_vs.9033_ribofiltered+trimmed	8360170.0	23034.0	292593.0	2760140.0	2655.0
L1aaP1-sex_154_vs.9034_ribofiltered+trimmed	8351845.0	26029.0	475384.0	2826788.0	4144.0
L1aaP1_merged2017_vs.9033_ribofiltered+trimmed	6289975.0	26808.0	76124.0	1592106.0	1435.0
L1aaP1_merged2017_vs.9034_ribofiltered+trimmed	6233646.0	81809.0	3865028.0	1494601.0	2551.0
L1aaP2-sex_merged2017_vs.9033_ribofiltered+trimmed	12871851.0	656363.0	357571.0	4579339.0	5160.0
L1aaP2-sex_merged2017_vs.9034_ribofiltered+trimmed	12828557.0	640876.0	618007.0	4672347.0	7399.0
L1aaP2_merged2017_vs.9033_ribofiltered+trimmed	7938499.0	54997.0	85504.0	1838341.0	1944.0
L1aaP2_merged2017_vs.9034_ribofiltered+trimmed	7865630.0	159556.0	3472935.0	1776659.0	3043.0
L1aaP3-sex_154_vs.9033_ribofiltered+trimmed	9364097.0	16007.0	249064.0	3053664.0	2956.0
L1aaP3-sex_154_vs.9034_ribofiltered+trimmed	9336252.0	17177.0	315293.0	3105454.0	4678.0
L1aaP3_merged2017_vs.9033_ribofiltered+trimmed	6652385.0	23967.0	66866.0	1627280.0	1410.0
L1aaP3_merged2017_vs.9034_ribofiltered+trimmed	6589112.0	71341.0	3930192.0	1524984.0	2526.0
L6aP1-sex_merged_vs.2508_ribofiltered+trimmed	16383817.0	43848.0	185239.0	2710096.0	9125.0
L6aP1-sex_merged_vs.2509_ribofiltered+trimmed	16520490.0	46398.0	84749.0	2690862.0	10485.0
L6aP1_merged_vs.2508_ribofiltered+trimmed	6138234.0	94453.0	84027.0	833961.0	2910.0
L6aP1_merged_vs.2509_ribofiltered+trimmed	6247598.0	161073.0	2405030.0	1555501.0	2789.0
L6aP2-sex_merged_vs.2508_ribofiltered+trimmed	14231692.0	17477.0	154880.0	2393362.0	7599.0
L6aP2-sex_merged_vs.2509_ribofiltered+trimmed	14351551.0	18659.0	81659.0	2373351.0	8552.0
L6aP2_merged2017_vs.2508_ribofiltered+trimmed	5412547.0	93491.0	71665.0	787918.0	2571.0
L6aP2_merged2017_vs.2509_ribofiltered+trimmed	5562696.0	199344.0	3194996.0	1770824.0	2412.0
L6aP3-sex_merged_vs.2508_ribofiltered+trimmed	13817095.0	31375.0	153954.0	2203976.0	7538.0
L6aP3-sex_merged_vs.2509_ribofiltered+trimmed	13937717.0	33329.0	68764.0	2205732.0	8805.0
L6aP3_merged_vs.2508_ribofiltered+trimmed	16479915.0	173168.0	178753.0	1872008.0	5577.0
L6aP3_merged_vs.2509_ribofiltered+trimmed	16527320.0	188687.0	289665.0	1965434.0	6707.0
L6aaP1-sex_merged_vs.2508_ribofiltered+trimmed	17540611.0	52460.0	101442.0	2755705.0	9032.0
L6aaP1-sex_merged_vs.2509_ribofiltered+trimmed	17576644.0	49798.0	297664.0	2634534.0	9481.0
L6aaP1_merged_vs.2508_ribofiltered+trimmed	7643982.0	114479.0	58014.0	902172.0	3456.0
L6aaP1_merged_vs.2509_ribofiltered+trimmed	7681972.0	144095.0	1439942.0	1299215.0	3347.0
L6aaP2-sex_merged_vs.2508_ribofiltered+trimmed	15396502.0	213532.0	71509.0	2252255.0	8271.0
L6aaP2-sex_merged_vs.2509_ribofiltered+trimmed	15420773.0	201875.0	247208.0	2149672.0	8760.0
L6aaP2_merged_vs.2508_ribofiltered+trimmed	8466996.0	20136.0	53544.0	972681.0	2994.0
L6aaP2_merged_vs.2509_ribofiltered+trimmed	8534155.0	45167.0	2087333.0	1568122.0	3262.0
L6aaP3-sex_merged_vs.2508_ribofiltered+trimmed	15146151.0	409871.0	72636.0	2169069.0	8472.0
L6aaP3-sex_merged_vs.2509_ribofiltered+trimmed	15169342.0	386658.0	254500.0	2080979.0	9189.0
L6aaP3_merged_vs.2508_ribofiltered+trimmed	8638675.0	18087.0	78709.0	1103971.0	3316.0
L6aaP3_merged_vs.2509_ribofiltered+trimmed	8709669.0	39869.0	2572762.0	1761405.0	3475.0
Sito-aP1-sex_163_vs.5940_ribofiltered+trimmed	8412164.0	23054.0	642219.0	2584042.0	1444.0
Sito-aP1-sex_163_vs.5941_ribofiltered+trimmed	8406110.0	18789.0	73878.0	2619463.0	1606.0
Sito-aP1_163_vs.5940_ribofiltered+trimmed	8023943.0	32860.0	2636955.0	1570562.0	725.0
Sito-aP1_163_vs.5941_ribofiltered+trimmed	8020371.0	14696.0	196357.0	1727736.0	973.0
Sito-aP2-sex_163_vs.5940_ribofiltered+trimmed	8168857.0	18797.0	714178.0	2337267.0	1363.0
Sito-aP2-sex_163_vs.5941_ribofiltered+trimmed	8161845.0	14818.0	72251.0	2375238.0	1478.0
Sito-aP2_163_vs.5940_ribofiltered+trimmed	7519386.0	30990.0	2516307.0	1309123.0	653.0
Sito-aP2_163_vs.5941_ribofiltered+trimmed	7515699.0	12500.0	184490.0	1461590.0	841.0
Sito-aP3-sex_163_vs.5940_ribofiltered+trimmed	11933999.0	31687.0	1314610.0	3685548.0	1972.0
Sito-aP3-sex_163_vs.5941_ribofiltered+trimmed	11922742.0	23882.0	150777.0	3761144.0	2257.0
Sito-aP3_163_vs.5940_ribofiltered+trimmed	7972789.0	41092.0	2728489.0	1400478.0	729.0
Sito-aP3_163_vs.5941_ribofiltered+trimmed	7971764.0	16338.0	226496.0	1577123.0	964.0
Sito-aaP1-sex_163_vs.5940_ribofiltered+trimmed	11644806.0	41392.0	1492039.0	2991885.0	1811.0
Sito-aaP1-sex_163_vs.5941_ribofiltered+trimmed	11636646.0	26120.0	209034.0	3110978.0	2088.0
Sito-aaP1_163_vs.5940_ribofiltered+trimmed	4228214.0	225330.0	3408829.0	773266.0	524.0
Sito-aaP1_163_vs.5941_ribofiltered+trimmed	4223766.0	140979.0	288383.0	1005748.0	611.0
Sito-aaP2-sex_163_vs.5940_ribofiltered+trimmed	9052690.0	27327.0	1646663.0	2451375.0	1305.0
Sito-aaP2-sex_163_vs.5941_ribofiltered+trimmed	9048009.0	15761.0	197222.0	2575490.0	1528.0
Sito-aaP2_163_vs.5940_ribofiltered+trimmed	6996174.0	33083.0	2573395.0	1230392.0	666.0
Sito-aaP2_163_vs.5941_ribofiltered+trimmed	6988894.0	12436.0	217509.0	1410272.0	823.0
Sito-aaP3-sex_163_vs.5940_ribofiltered+trimmed	8291739.0	25696.0	1121988.0	2376864.0	1213.0
Sito-aaP3-sex_163_vs.5941_ribofiltered+trimmed	8291389.0	16110.0	148199.0	2466659.0	1415.0
Sito-aaP3_163_vs.5940_ribofiltered+trimmed	7244599.0	43836.0	3197991.0	1414212.0	765.0
