Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
L10aP1-sex_merged_vs.10707_ribofiltered+trimmed	13972960	10269077	0	0	33241	0	0	0	0	193814	0	0	3473268	0	3560	73.49249550560512
L10aP1-sex_merged_vs.10708_ribofiltered+trimmed	13889947	10259725	0	0	36647	0	0	0	0	17377	0	0	3572021	0	4177	73.86439271510538
L10aP1_merged_vs.10707_ribofiltered+trimmed	16216153	12917444	0	0	45185	0	0	0	0	223619	0	0	3027201	0	2704	79.65788186630948
L10aP1_merged_vs.10708_ribofiltered+trimmed	16044606	12944763	0	0	48718	0	0	0	0	19631	0	0	3028646	0	2848	80.67984343149342
L10aP2-sex_merged_vs.10707_ribofiltered+trimmed	17142133	12425659	0	0	32491	0	0	0	0	244036	0	0	4435481	0	4466	72.48607276585707
L10aP2-sex_merged_vs.10708_ribofiltered+trimmed	17059648	12452424	0	0	35667	0	0	0	0	23092	0	0	4543361	0	5104	72.99344042737576
L10aP2_merged_vs.10707_ribofiltered+trimmed	7993160	6458616	0	0	13709	0	0	0	0	104332	0	0	1415134	0	1369	80.80178552662527
L10aP2_merged_vs.10708_ribofiltered+trimmed	7907430	6464453	0	0	14729	0	0	0	0	9798	0	0	1416804	0	1646	81.7516310609136
L10aP3-sex_merged_vs.10707_ribofiltered+trimmed	16917457	12478825	0	0	33166	0	0	0	0	232668	0	0	4168137	0	4661	73.76300705241928
L10aP3-sex_merged_vs.10708_ribofiltered+trimmed	16850328	12507433	0	0	37014	0	0	0	0	20726	0	0	4279951	0	5204	74.2266441341676
L10aP3_merged_vs.10707_ribofiltered+trimmed	12792296	10262904	0	0	23511	0	0	0	0	177823	0	0	2325723	0	2335	80.22722426060184
L10aP3_merged_vs.10708_ribofiltered+trimmed	12657689	10289250	0	0	25214	0	0	0	0	15563	0	0	2325075	0	2587	81.28853537166223
L10aaP1-sex_merged_vs.10707_ribofiltered+trimmed	11807916	8849892	0	0	82515	0	0	0	0	15431	0	0	2857246	0	2832	74.94880553012064
L10aaP1-sex_merged_vs.10708_ribofiltered+trimmed	11883448	8803501	0	0	73846	0	0	0	0	161871	0	0	2840744	0	3486	74.0820425182994
L10aaP1_merged_vs.10707_ribofiltered+trimmed	13274450	10820250	0	0	29717	0	0	0	0	18089	0	0	2404462	0	1932	81.51185171513697
L10aaP1_merged_vs.10708_ribofiltered+trimmed	13414551	10874952	0	0	27129	0	0	0	0	137244	0	0	2372748	0	2478	81.0683264762272
L10aaP2-sex_merged_vs.10707_ribofiltered+trimmed	13573594	10130254	0	0	26539	0	0	0	0	18467	0	0	3395315	0	3019	74.63206870634262
L10aaP2-sex_merged_vs.10708_ribofiltered+trimmed	13666279	10104458	0	0	23871	0	0	0	0	194063	0	0	3340378	0	3509	73.93715582712748
L10aaP2_merged_vs.10707_ribofiltered+trimmed	9920665	8132046	0	0	121668	0	0	0	0	14624	0	0	1650294	0	2033	81.97077514460976
L10aaP2_merged_vs.10708_ribofiltered+trimmed	10005873	8162691	0	0	111239	0	0	0	0	96992	0	0	1632252	0	2699	81.57899865409046
L10aaP3-sex_merged_vs.10707_ribofiltered+trimmed	14657520	11009187	0	0	36628	0	0	0	0	19804	0	0	3588571	0	3330	75.10947963912041
L10aaP3-sex_merged_vs.10708_ribofiltered+trimmed	14770933	10972383	0	0	32905	0	0	0	0	207171	0	0	3554469	0	4005	74.2836149889787
L10aaP3_merged_vs.10707_ribofiltered+trimmed	13326219	10864869	0	0	93471	0	0	0	0	18267	0	0	2347436	0	2176	81.53001988035766
L10aaP3_merged_vs.10708_ribofiltered+trimmed	13436229	10912158	0	0	84924	0	0	0	0	132702	0	0	2303526	0	2919	81.2144389620034
L1aP1-sex_154_vs.9033_ribofiltered+trimmed	13632447	9543679	0	0	19537	0	0	0	0	273453	0	0	3793036	0	2742	70.00708676879506
L1aP1-sex_154_vs.9034_ribofiltered+trimmed	13653869	9499734	0	0	22563	0	0	0	0	246376	0	0	3880886	0	4310	69.57540020341487
L1aP1_merged2017_vs.9033_ribofiltered+trimmed	9617820	7303148	0	0	526880	0	0	0	0	100679	0	0	1682882	0	4231	75.93350676140747
L1aP1_merged2017_vs.9034_ribofiltered+trimmed	11195046	7209286	0	0	618970	0	0	0	0	1689597	0	0	1673565	0	3628	64.39710922134665
L1aP2-sex_154_vs.9033_ribofiltered+trimmed	8043452	5667804	0	0	160070	0	0	0	0	195539	0	0	2017978	0	2061	70.46482032838637
L1aP2-sex_154_vs.9034_ribofiltered+trimmed	8029874	5655380	0	0	167548	0	0	0	0	131652	0	0	2072421	0	2873	70.4292495747754
L1aP2_154_vs.9033_ribofiltered+trimmed	9466417	7529900	0	0	20774	0	0	0	0	106107	0	0	1807701	0	1935	79.54329499746314
L1aP2_154_vs.9034_ribofiltered+trimmed	9858938	7445490	0	0	27032	0	0	0	0	556525	0	0	1826846	0	3045	75.52020308881139
L1aP3-sex_154_vs.9033_ribofiltered+trimmed	11384499	8089092	0	0	16936	0	0	0	0	279064	0	0	2997117	0	2290	71.05356151377413
L1aP3-sex_154_vs.9034_ribofiltered+trimmed	11374362	8065786	0	0	19083	0	0	0	0	218358	0	0	3067481	0	3654	70.91198609645095
L1aP3_154_vs.9033_ribofiltered+trimmed	9985322	7983322	0	0	26468	0	0	0	0	126791	0	0	1846632	0	2109	79.95057144877251
L1aP3_154_vs.9034_ribofiltered+trimmed	10350617	7899507	0	0	34155	0	0	0	0	541220	0	0	1872452	0	3283	76.31918947440525
L1aaP1-sex_154_vs.9033_ribofiltered+trimmed	11438592	8360170	0	0	23034	0	0	0	0	292593	0	0	2760140	0	2655	73.08740446376618
L1aaP1-sex_154_vs.9034_ribofiltered+trimmed	11684190	8351845	0	0	26029	0	0	0	0	475384	0	0	2826788	0	4144	71.4798800772668
L1aaP1_merged2017_vs.9033_ribofiltered+trimmed	7986448	6289975	0	0	26808	0	0	0	0	76124	0	0	1592106	0	1435	78.75810372771474
L1aaP1_merged2017_vs.9034_ribofiltered+trimmed	11677635	6233646	0	0	81809	0	0	0	0	3865028	0	0	1494601	0	2551	53.381065601039936
L1aaP2-sex_merged2017_vs.9033_ribofiltered+trimmed	18470284	12871851	0	0	656363	0	0	0	0	357571	0	0	4579339	0	5160	69.68951316612132
L1aaP2-sex_merged2017_vs.9034_ribofiltered+trimmed	18767186	12828557	0	0	640876	0	0	0	0	618007	0	0	4672347	0	7399	68.35631617867485
L1aaP2_merged2017_vs.9033_ribofiltered+trimmed	9919285	7938499	0	0	54997	0	0	0	0	85504	0	0	1838341	0	1944	80.03095989277453
L1aaP2_merged2017_vs.9034_ribofiltered+trimmed	13277823	7865630	0	0	159556	0	0	0	0	3472935	0	0	1776659	0	3043	59.238852634200654
