Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
L10aP1-sex_merged_vs.10707_ribofiltered+trimmed	73.49249550560512	10269077
L10aP1-sex_merged_vs.10708_ribofiltered+trimmed	73.86439271510538	10259725
L10aP1_merged_vs.10707_ribofiltered+trimmed	79.65788186630948	12917444
L10aP1_merged_vs.10708_ribofiltered+trimmed	80.67984343149342	12944763
L10aP2-sex_merged_vs.10707_ribofiltered+trimmed	72.48607276585707	12425659
L10aP2-sex_merged_vs.10708_ribofiltered+trimmed	72.99344042737576	12452424
L10aP2_merged_vs.10707_ribofiltered+trimmed	80.80178552662527	6458616
L10aP2_merged_vs.10708_ribofiltered+trimmed	81.7516310609136	6464453
L10aP3-sex_merged_vs.10707_ribofiltered+trimmed	73.76300705241928	12478825
L10aP3-sex_merged_vs.10708_ribofiltered+trimmed	74.2266441341676	12507433
L10aP3_merged_vs.10707_ribofiltered+trimmed	80.22722426060184	10262904
L10aP3_merged_vs.10708_ribofiltered+trimmed	81.28853537166223	10289250
L10aaP1-sex_merged_vs.10707_ribofiltered+trimmed	74.94880553012064	8849892
L10aaP1-sex_merged_vs.10708_ribofiltered+trimmed	74.0820425182994	8803501
L10aaP1_merged_vs.10707_ribofiltered+trimmed	81.51185171513697	10820250
L10aaP1_merged_vs.10708_ribofiltered+trimmed	81.0683264762272	10874952
L10aaP2-sex_merged_vs.10707_ribofiltered+trimmed	74.63206870634262	10130254
L10aaP2-sex_merged_vs.10708_ribofiltered+trimmed	73.93715582712748	10104458
L10aaP2_merged_vs.10707_ribofiltered+trimmed	81.97077514460976	8132046
L10aaP2_merged_vs.10708_ribofiltered+trimmed	81.57899865409046	8162691
L10aaP3-sex_merged_vs.10707_ribofiltered+trimmed	75.10947963912041	11009187
L10aaP3-sex_merged_vs.10708_ribofiltered+trimmed	74.2836149889787	10972383
L10aaP3_merged_vs.10707_ribofiltered+trimmed	81.53001988035766	10864869
L10aaP3_merged_vs.10708_ribofiltered+trimmed	81.2144389620034	10912158
L1aP1-sex_154_vs.9033_ribofiltered+trimmed	70.00708676879506	9543679
L1aP1-sex_154_vs.9034_ribofiltered+trimmed	69.57540020341487	9499734
L1aP1_merged2017_vs.9033_ribofiltered+trimmed	75.93350676140747	7303148
L1aP1_merged2017_vs.9034_ribofiltered+trimmed	64.39710922134665	7209286
L1aP2-sex_154_vs.9033_ribofiltered+trimmed	70.46482032838637	5667804
L1aP2-sex_154_vs.9034_ribofiltered+trimmed	70.4292495747754	5655380
L1aP2_154_vs.9033_ribofiltered+trimmed	79.54329499746314	7529900
L1aP2_154_vs.9034_ribofiltered+trimmed	75.52020308881139	7445490
L1aP3-sex_154_vs.9033_ribofiltered+trimmed	71.05356151377413	8089092
L1aP3-sex_154_vs.9034_ribofiltered+trimmed	70.91198609645095	8065786
L1aP3_154_vs.9033_ribofiltered+trimmed	79.95057144877251	7983322
L1aP3_154_vs.9034_ribofiltered+trimmed	76.31918947440525	7899507
L1aaP1-sex_154_vs.9033_ribofiltered+trimmed	73.08740446376618	8360170
L1aaP1-sex_154_vs.9034_ribofiltered+trimmed	71.4798800772668	8351845
L1aaP1_merged2017_vs.9033_ribofiltered+trimmed	78.75810372771474	6289975
L1aaP1_merged2017_vs.9034_ribofiltered+trimmed	53.381065601039936	6233646
L1aaP2-sex_merged2017_vs.9033_ribofiltered+trimmed	69.68951316612132	12871851
L1aaP2-sex_merged2017_vs.9034_ribofiltered+trimmed	68.35631617867485	12828557
L1aaP2_merged2017_vs.9033_ribofiltered+trimmed	80.03095989277453	7938499
L1aaP2_merged2017_vs.9034_ribofiltered+trimmed	59.238852634200654	7865630
L1aaP3-sex_154_vs.9033_ribofiltered+trimmed	73.81565102617196	9364097
L1aaP3-sex_154_vs.9034_ribofiltered+trimmed	73.06016642806938	9336252
L1aaP3_merged2017_vs.9033_ribofiltered+trimmed	79.46079913921653	6652385
L1aaP3_merged2017_vs.9034_ribofiltered+trimmed	54.373887774170235	6589112
L6aP1-sex_merged_vs.2508_ribofiltered+trimmed	84.74917785809889	16383817
L6aP1-sex_merged_vs.2509_ribofiltered+trimmed	85.36404515190009	16520490
L6aP1_merged_vs.2508_ribofiltered+trimmed	85.80640336278942	6138234
L6aP1_merged_vs.2509_ribofiltered+trimmed	60.235281731347435	6247598
L6aP2-sex_merged_vs.2508_ribofiltered+trimmed	84.68719744885603	14231692
L6aP2-sex_merged_vs.2509_ribofiltered+trimmed	85.25451693179639	14351551
L6aP2_merged2017_vs.2508_ribofiltered+trimmed	84.99346439303338	5412547
L6aP2_merged2017_vs.2509_ribofiltered+trimmed	51.84114624494141	5562696
L6aP3-sex_merged_vs.2508_ribofiltered+trimmed	85.21739135797854	13817095
L6aP3-sex_merged_vs.2509_ribofiltered+trimmed	85.74762800375801	13937717
